"Country Code","Continent","Country Name","Measurement year","Population","Average hours worked per person employed","GDP per capita, PPP, constant 2011 USD"
"ARG","Americas","Argentina",2014,42670000,1776,18797
"ARM","Asia","Armenia",2014,2800000,1842,7971
"AUS","Oceania","Australia",2014,23500000,1803,43395
"AUT","Europe","Austria",2014,8500000,1629,44122
"BEL","Europe","Belgium",2014,10800000,1575,41355
"BGD","Asia","Bangladesh",2014,158512570,2371,2973
"BGR","Europe","Bulgaria",2014,7200000,1644,16302
"BRA","Americas","Brazil",2014,202033670,1711,15370
"BRB","Americas","Barbados",2014,280000,1672,15297
"CAN","Americas","Canada",2014,35000000,1687,42946
"CHE","Europe","Switzerland",2014,8100000,1568,56680
"CHL","Americas","Chile",2014,19884773,1990,22226
"COL","Americas","Colombia",2014,52085168,1771,12715
"CRI","Americas","Costa Rica",2014,5338566,2216,14392
"CYP","Asia","Cyprus",2014,1259955,1826,29711
"CZE","Europe","Czech Republic",2014,10722607,1770,29119
"DEU","Europe","Germany",2014,80900000,1371,43417
"DNK","Europe","Denmark",2014,5935619,1438,45082
"ECU","Americas","Ecuador",2014,18313624,2085,10922
"ESP","Europe","Spain",2014,46500000,1688,31193
"EST","Europe","Estonia",2014,1318336,1859,26957
"FIN","Europe","Finland",2014,5603059,1642,39017
"FRA","Europe","France",2014,65890589,1473,37531
"GBR","Europe","United Kingdom",2014,64100000,1675,37983
"GRC","Europe","Greece",2014,10204315,2041,23989
"HKG","Asia","Hong Kong",2014,7200000,2234,52700
"HUN","Europe","Hungary",2014,9571699,1859,24016
"IDN","Asia","Indonesia",2014,252812245,2026,10003
"IND","Asia","India",2014,1267401849,2162,5389
"IRL","Europe","Ireland",2014,5159862,1821,48885
"ISL","Europe","Iceland",2014,384249,1864,41424
"ISR","Asia","Israel",2014,9905407,1880,31812
"ITA","Europe","Italy",2014,58870045,1733,33945
"JAM","Americas","Jamaica",2014,2825544,1867,8053
"JPN","Asia","Japan",2014,126999808,1729,37322
"KHM","Asia","Cambodia",2014,17168639,2510,3124
"KOR","Asia","South Korea",2014,50000000,2123,33425
"LCA","Americas","Saint Lucia",2014,180000,1878,10522
"LKA","Asia","Sri Lanka",2014,21900000,2075,10650
"LTU","Europe","Lithuania",2014,2672209,1833,26251
"LUX","Europe","Luxembourg",2014,686905,1501,93829
"LVA","Europe","Latvia",2014,1830211,1938,22265
"MEX","Americas","Mexico",2014,123799215,2136,16459
"MLT","Europe","Malta",2014,535064,1961,32340
"MYS","Asia","Malaysia",2014,34340218,2267,24195
"NLD","Europe","Netherlands",2014,17708059,1419,45668
"NOR","Europe","Norway",2014,5378857,1426,63286
"NZL","Oceania","New Zealand",2014,5228100,1762,34468
"PAK","Asia","Pakistan",2014,185132926,2282,4576
"PER","Americas","Peru",2014,30400000,1790,11545
"PHL","Asia","Philippines",2014,100096496,2115,6585
"POL","Europe","Poland",2014,38500000,2039,24346
"PRT","Europe","Portugal",2014,10226187,1856,26023
"ROU","Europe","Romania",2014,19900000,1816,19666
"RUS","Europe","Russia",2014,142467651,1985,24880
"SGP","Asia","Singapore",2014,5804337,2262,80305
"SVK","Europe","Slovakia",2014,5457013,1763,27237
"SVN","Europe","Slovenia",2014,2119675,1560,28459
"SWE","Europe","Sweden",2014,10036379,1608,44167
"THA","Asia","Thailand",2014,67000000,2284,14853
"TTO","Americas","Trinidad and Tobago",2014,1534937,1583,31595
"TUR","Asia","Turkey",2014,77000000,1832,22401
"URY","Americas","Uruguay",2014,3420108,1592,19827
"USA","Americas","United States",2014,322583006,1764,51830
"VEN","Americas","Venezuela",2013,30000000,1794,17665
"VNM","Asia","Vietnam",2014,90000000,2339,5370
"ZAF","Africa","South Africa",2014,54000000,2215,12462
