ci,log_lum
1.021,1.1287999999999998
0.614,0.2791999999999999
1.112,1.4672
0.909,1.0468
0.58,-3.6920000000000472
1.684,1.8155999999999999
0.98,1.2364
0.511,0.5079999999999999
0.97,1.8372000000000002
0.07,-3.4955999999999583
1.2,1.3432
0.524,0.5551999999999998
0.972,1.5708
1.5,1.7431999999999999
0.56,-3.890800000000135
0.327,1.5508
0.3,-3.5679999999999747
0.643,-0.056400000000000027
0.623,0.38239999999999974
1.412,3.0711999999999997
0.12,-3.1976000000000098
0.19,-3.3775999999999624
0.64,0.6703999999999999
-0.067,-0.13880000000000017
1.772,2.2363999999999997
0.948,2.3212
0.025,-2.5956000000000112
0.6,-3.894399999999908
0.24,-3.358399999999993
1.423,1.4291999999999998
1.252,2.842
0.332,1.1543999999999999
1.058,1.7291999999999998
0.993,1.7128
1.6,2.0416
0.397,1.1236
0.451,0.8247999999999998
0.529,0.2820000000000001
0.548,0.6088
0.851,1.3648
0.86,0.7232
1.064,2.0524
0.36,-3.629199999999978
1.284,2.8312
1.238,1.4223999999999999
0.41,0.7959999999999999
0.374,1.2236
0.531,1.0907999999999998
-0.137,2.3476
1.379,1.8767999999999998
0.986,1.4024
0.73,0.029999999999999638
0.367,1.0976
0.88,-3.963199999999838
0.24,1.0912
0.994,2.1256
0.96,1.8944
1.172,0.7959999999999999
-0.073,2.238
0.618,0.4819999999999999
1.008,1.7648000000000001
0.463,0.5419999999999998
1.047,1.6076000000000001
-0.09,-2.982800000000022
0.14,-2.7128000000000125
-0.05,2.1804
0.17,-2.7420000000000004
0.44,-3.407200000000013
0.409,0.8976
0.05,-3.087999999999996
1.274,-1.0988000000000002
1.537,2.2744
0.44,0.4755999999999998
0.32,-3.806400000000104
0.995,1.3876
0.739,1.0503999999999998
0.684,0.6379999999999999
0.035,1.6395999999999997
1.144,0.37959999999999994
0.99,1.4611999999999998
1.139,0.4627999999999999
1.518,1.7756
0.463,0.5595999999999998
0.51,1.3316
0.834,0.7624
1.644,2.9312
0.613,2.972
0.74,-3.7772000000000108
1.466,2.21
0.378,0.986
-0.152,2.3336
0.58,-3.8315999999999084
0.952,1.7828
0.835,0.6723999999999999
0.711,0.5287999999999998
0.026,2.0787999999999998
1.247,0.6015999999999999
0.611,0.9116
1.321,1.9116
1.25,1.3803999999999998
0.244,1.4407999999999999
0.153,1.3416
0.493,0.5763999999999999
0.35,-3.017200000000014
1.364,2.0316
0.903,1.1964
1.24,1.3323999999999998
0.22,-3.4515999999999964
1.227,1.442
0.612,0.39559999999999995
0.16,-3.511599999999945
0.418,0.6492
0.478,0.8963999999999999
1.175,1.7468000000000001
1.061,2.2616
1.059,2.0587999999999997
0.561,0.10879999999999976
0.503,0.36199999999999993
1.5,1.8116
0.33,-3.4483999999999537
0.733,0.06920000000000005
0.165,1.296
1.114,1.7764
0.319,1.3472
1.522,2.256
0.484,0.4775999999999998
1.579,1.662
0.114,0.9787999999999999
0.505,0.7415999999999999
0.48,0.6396
0.986,2.344
0.441,0.8579999999999999
-0.011,-2.304400000000008
0.96,-4.146399999999795
0.52,-3.9840000000000053
0.05,-2.6260000000000105
-0.013,2.1203999999999996
0.465,0.8835999999999999
0.573,1.202
1.091,1.6651999999999998
1.507,1.854
0.0,1.6787999999999998
0.663,0.010799999999999707
0.073,2.41
0.95,-4.094000000000036
0.377,1.0424
0.92,1.4148
0.259,2.6812
1.057,2.1595999999999997
1.587,2.2848
0.52,0.27
0.101,1.45
0.508,1.0216
0.099,1.0412
1.022,2.1184
-0.024,2.0596
0.003,1.5284
1.163,1.6820000000000002
0.935,1.8195999999999999
0.118,1.4855999999999998
1.01,1.5088
0.188,1.5792
0.107,1.3823999999999999
1.091,2.3711999999999995
0.55,-3.910400000000059
0.4,-3.5047999999999977
0.827,2.1884
1.541,1.7855999999999999
1.604,2.4352
0.9,1.214
0.33,1.5188
-0.047,1.7436
0.456,1.1703999999999999
0.613,0.06839999999999978
1.545,1.6816
0.396,1.0652
0.72,-3.9064000000000787
0.685,0.1707999999999998
1.071,1.2428
0.601,0.3104
0.979,1.7047999999999999
0.936,0.7444
1.3,-4.387599999999661
0.355,1.2215999999999998
0.13,-2.7024000000000092
-0.07,-2.3508000000000004
0.287,1.2715999999999998
0.4,-4.143199999999704
2.08,0.8296
0.4,-3.4860000000000477
1.04,1.0319999999999998
0.47,0.8059999999999999
0.409,0.4616
0.588,0.4139999999999999
0.95,-3.6899999999999
-0.027,2.1464
0.907,-0.36080000000000007
1.633,2.1536
0.589,0.7475999999999999
0.42,-3.7191999999998875
1.071,1.1508
0.381,0.6848
1.198,1.0624
0.38,0.7483999999999998
0.502,0.2495999999999999
0.621,0.0051999999999999685
1.296,1.0872
1.104,1.5983999999999998
1.392,1.5648
0.3,-3.6620000000000315
0.206,1.2912
1.405,2.3516
1.263,1.7575999999999998
1.243,1.0727999999999998
1.314,1.4311999999999998
1.034,1.2496
0.445,0.5571999999999999
0.593,0.2515999999999998
0.013,1.3532
1.205,2.1515999999999997
0.25,-2.9508000000000343
1.154,-0.8380000000000003
-0.072,-2.6584000000000176
-0.15,2.2996
0.21,-3.2623999999999778
0.027,1.4596
0.518,1.0412
0.05,-2.894800000000004
0.69,-3.9152000000001355
0.23,-2.9588000000000196
1.402,1.8168
1.1,-4.1707999999998435
1.109,1.4284
0.524,1.242
1.216,0.8939999999999997
-0.122,2.4232
0.49,-3.9148000000000467
0.982,-0.6304000000000004
-0.112,-2.342000000000008
0.569,0.05120000000000011
0.393,0.7419999999999999
1.32,1.8792
-0.006,1.5492
0.558,0.31399999999999967
0.49,-3.737600000000098
1.298,0.9679999999999999
0.534,0.18679999999999986
0.833,0.003200000000000018
0.99,1.3259999999999998
1.157,1.4931999999999999
-0.067,1.3024
0.18,-3.2059999999999715
1.728,3.2812
-0.199,-2.378400000000008
1.085,1.4535999999999998
0.598,0.3851999999999999
0.408,1.6668
0.481,0.8247999999999998
1.097,1.304
1.04,2.092
0.563,0.9556
0.18,1.4896
-0.026,1.7752
1.285,1.6552
0.963,1.7072
